title,avg_rating,avg_rating_category
"The Birdcatcher",4.7,"Flop movies"
"5th Passenger",3.1,"Flop movies"
"A Violent Separation",5.5,"one-time-watch movies"
"Be My Cat: A Film for Anne",6.3,"one-time-watch movies"
Verónica,5.8,"one-time-watch movies"
"Call of the Wolf",5.9,"one-time-watch movies"
Neckan,6.0,"one-time-watch movies"
"Bad Samaritan",6.4,"one-time-watch movies"
"The Dinner",4.5,"Flop movies"
"Among Us",4.3,"Flop movies"
"Valley of the Sasquatch",3.6,"Flop movies"
"Anabolic Life",6.0,"one-time-watch movies"
"As Worlds Collide",7.7,"Hit movies"
Domino,4.4,"Flop movies"
Benzin,5.3,"one-time-watch movies"
"Asylum of Fear",3.4,"Flop movies"
"The Autopsy of Jane Doe",6.8,"one-time-watch movies"
"Mientras el Lobo No Está",7.7,"Hit movies"
HHhH,6.4,"one-time-watch movies"
"Jekyll Island",4.2,"Flop movies"
"Den 12. mann",7.4,"Hit movies"
"The Hollow One",3.8,"Flop movies"
"Be Afraid",4.7,"Flop movies"
Accident,3.3,"Flop movies"
"White Orchid",5.1,"one-time-watch movies"
"Above Ground",4.0,"Flop movies"
"Burning Kiss",3.6,"Flop movies"
Slender,3.1,"Flop movies"
Diverge,4.5,"Flop movies"
"No Way to Live",5.5,"one-time-watch movies"
Jigsaw,5.8,"one-time-watch movies"
"Bad Kids of Crestview Academy",6.2,"one-time-watch movies"
"Bad Frank",5.0,"one-time-watch movies"
"Scary Stories to Tell in the Dark",6.2,"one-time-watch movies"
"Xian yi ren X de xian shen",6.2,"one-time-watch movies"
"Puriyaadha Pudhir",6.6,"one-time-watch movies"
"Adios Vaya Con Dios",8.4,"superhit movies"
Painless,6.3,"one-time-watch movies"
Rabbit,5.1,"one-time-watch movies"
"A Place in Hell",3.0,"Flop movies"
"One Less God",5.6,"one-time-watch movies"
"Land of Smiles",4.5,"Flop movies"
Havenhurst,4.8,"Flop movies"
Grinder,4.0,"Flop movies"
"Land of the Little People",6.5,"one-time-watch movies"
"Investigation 13",4.6,"Flop movies"
"Deadly Sanctuary",3.7,"Flop movies"
Abduct,4.8,"Flop movies"
"The Drownsman",4.1,"Flop movies"
"Damascus Cover",5.1,"one-time-watch movies"
Unforgettable,5.1,"one-time-watch movies"
Inconceivable,5.2,"one-time-watch movies"
Relentless,4.6,"Flop movies"
"Your Move",3.8,"Flop movies"
Security,5.7,"one-time-watch movies"
"Furthest Witness",4.1,"Flop movies"
"Welcome to Curiosity",5.4,"one-time-watch movies"
"The Ballerina",4.5,"Flop movies"
"The Lighthouse",5.1,"one-time-watch movies"
"The Tank",4.0,"Flop movies"
Haunted,4.6,"Flop movies"
Retribution,6.0,"one-time-watch movies"
Submergence,5.4,"one-time-watch movies"
"Arise from Darkness",7.6,"Hit movies"
Stratton,4.8,"Flop movies"
"She Who Must Burn",4.7,"Flop movies"
"The Dark Below",4.2,"Flop movies"
"Us and Them",5.1,"one-time-watch movies"
"Bad Girl",5.6,"one-time-watch movies"
"Bank Chor",5.9,"one-time-watch movies"
"The Ghoul",5.5,"one-time-watch movies"
"Tell Me Your Name",3.9,"Flop movies"
Candiland,4.3,"Flop movies"
MindGamers,3.8,"Flop movies"
"The Inherited",4.3,"Flop movies"
"Glass Jaw",7.2,"Hit movies"
"Body of Deceit",4.2,"Flop movies"
"Creep 2",6.4,"one-time-watch movies"
Madtown,6.3,"one-time-watch movies"
"Beyond the Sky",5.8,"one-time-watch movies"
Eloise,4.6,"Flop movies"
"The Harvesting",3.7,"Flop movies"
"Vincent N Roxxy",5.5,"one-time-watch movies"
"Face of Evil",2.8,"Flop movies"
Quarries,4.4,"Flop movies"
"The Last Witness",5.5,"one-time-watch movies"
Elle,7.1,"Hit movies"
"The Wicked One",3.6,"Flop movies"
"Cuando los ángeles duermen",5.4,"one-time-watch movies"
"I Before Thee",3.5,"Flop movies"
Besetment,3.5,"Flop movies"
Recall,2.8,"Flop movies"
Jungle,6.7,"one-time-watch movies"
"Blood Money",4.5,"Flop movies"
Ladyworld,3.2,"Flop movies"
"The Evil Inside Her",3.5,"Flop movies"
"The Equalizer 2",6.7,"one-time-watch movies"
"Body Keepers",2.8,"Flop movies"
"Dead Awake",4.6,"Flop movies"
"The Grinn",4.1,"Flop movies"
"House of Afflictions",2.5,"Flop movies"
Clowntergeist,2.9,"Flop movies"
"Against the Clock",2.6,"Flop movies"
"Hank Boyd Is Dead",4.6,"Flop movies"
Slasher.com,3.3,"Flop movies"
"Blood Stripe",6.1,"one-time-watch movies"
"Infinity Chamber",6.2,"one-time-watch movies"
Viktorville,6.8,"one-time-watch movies"
"Dangerous Company",4.7,"Flop movies"
"Strangers Within",4.0,"Flop movies"
"Dark Beacon",6.4,"one-time-watch movies"
Seeds,3.6,"Flop movies"
"Hounds of Love",6.5,"one-time-watch movies"
Savageland,5.9,"one-time-watch movies"
"We Go On",5.8,"one-time-watch movies"
"The Neighbor",5.3,"one-time-watch movies"
"Deadly Crush",6.3,"one-time-watch movies"
"Hell of a Night",3.3,"Flop movies"
"The Nth Ward",3.5,"Flop movies"
Ánimas,4.7,"Flop movies"
Hebbuli,7.2,"Hit movies"
"House by the Lake",3.6,"Flop movies"
Legionario,6.5,"one-time-watch movies"
"Level 16",5.9,"one-time-watch movies"
"Lost Solace",4.1,"Flop movies"
"The Tale",7.3,"Hit movies"
Braxton,3.6,"Flop movies"
Ah-ga-ssi,8.1,"superhit movies"
"The Honor Farm",3.6,"Flop movies"
"The Man in the Wall",5.9,"one-time-watch movies"
Lycan,6.4,"one-time-watch movies"
"Cut to the Chase",4.7,"Flop movies"
"Ultimate Justice",4.2,"Flop movies"
"Blood Bound",4.2,"Flop movies"
"I Spit on Your Grave: Deja Vu",2.4,"Flop movies"
"The Nightingale",7.2,"Hit movies"
Monochrome,5.0,"one-time-watch movies"
"In Extremis",4.3,"Flop movies"
"Dark Sense",4.3,"Flop movies"
"O Rastro",5.8,"one-time-watch movies"
Alterscape,5.8,"one-time-watch movies"
Darling,5.5,"one-time-watch movies"
"Demon House",5.2,"one-time-watch movies"
"But Deliver Us from Evil",2.7,"Flop movies"
"The Tracker",3.2,"Flop movies"
Replicas,5.5,"one-time-watch movies"
Boar,5.1,"one-time-watch movies"
"Live Cargo",4.6,"Flop movies"
Restraint,3.9,"Flop movies"
"The Redeeming",4.2,"Flop movies"
"A Room to Die For",3.4,"Flop movies"
"Valley of Bones",4.1,"Flop movies"
"The Crucifixion",5.1,"one-time-watch movies"
Sleepwalker,5.1,"one-time-watch movies"
"Norman: The Moderate Rise and Tragic Fall of a New York Fixer",6.1,"one-time-watch movies"
"Del Playa",3.7,"Flop movies"
"Chimera Strain",5.4,"one-time-watch movies"
"We Are Monsters",3.4,"Flop movies"
Widows,6.9,"one-time-watch movies"
"The Wall",6.2,"one-time-watch movies"
Inhumane,2.9,"Flop movies"
"Virus of the Dead",2.8,"Flop movies"
Wrecker,3.4,"Flop movies"
"Tangent Room",4.6,"Flop movies"
Bloodlands,5.8,"one-time-watch movies"
"La nuit a dévoré le monde",6.0,"one-time-watch movies"
Sum1,4.0,"Flop movies"
Terrifier,5.6,"one-time-watch movies"
"Broken Star",4.2,"Flop movies"
"Mirror Game",6.1,"one-time-watch movies"
"The Evangelist",6.3,"one-time-watch movies"
"Sugar Daddies",5.0,"one-time-watch movies"
Fractured,6.3,"one-time-watch movies"
"Bonded by Blood 2",5.8,"one-time-watch movies"
"My Birthday Song",5.5,"one-time-watch movies"
"3 Lives",3.2,"Flop movies"
Tau,5.8,"one-time-watch movies"
Blackmark,4.4,"Flop movies"
"The Man in the Shadows",3.3,"Flop movies"
"Ghost House",4.7,"Flop movies"
"Hide in the Light",3.7,"Flop movies"
"Blood Vow",6.4,"one-time-watch movies"
Detour,6.2,"one-time-watch movies"
"Los Angeles Overnight",6.2,"one-time-watch movies"
Enclosure,4.1,"Flop movies"
"Rock, Paper, Scissors",4.2,"Flop movies"
"Lies We Tell",4.0,"Flop movies"
"7 Witches",3.5,"Flop movies"
"John Wick: Chapter 2",7.5,"Hit movies"
Innuendo,5.5,"one-time-watch movies"
Aux,4.2,"Flop movies"
Desolation,5.8,"one-time-watch movies"
"The Playground",4.7,"Flop movies"
"The Marker",5.5,"one-time-watch movies"
Terminal,5.3,"one-time-watch movies"
Bodysnatch,3.1,"Flop movies"
"Fifty Shades Freed",4.5,"Flop movies"
"My Pure Land",6.3,"one-time-watch movies"
"Cyber Case",5.0,"one-time-watch movies"
"Gehenna: Where Death Lives",5.0,"one-time-watch movies"
"Maze Runner: The Death Cure",6.2,"one-time-watch movies"
"The Prodigy",5.9,"one-time-watch movies"
"The Wasting",4.1,"Flop movies"
"Check Point",3.2,"Flop movies"
Defective,3.5,"Flop movies"
"Robin Hood",5.3,"one-time-watch movies"
"Zhui bu",5.2,"one-time-watch movies"
"Miss Sloane",7.5,"Hit movies"
"Project Eden: Vol. I",3.2,"Flop movies"
"I Kill Giants",6.2,"one-time-watch movies"
Altitude,4.0,"Flop movies"
"Armed Response",3.7,"Flop movies"
"Mile 22",6.1,"one-time-watch movies"
"The Haunted",3.6,"Flop movies"
"The Book of Henry",6.6,"one-time-watch movies"
"Beneath the Leaves",4.5,"Flop movies"
"2036 Origin Unknown",4.6,"Flop movies"
Rupture,4.8,"Flop movies"
"The Witch Files",4.4,"Flop movies"
Aftermath,5.7,"one-time-watch movies"
"The Body Tree",3.8,"Flop movies"
Darc,5.8,"one-time-watch movies"
Haze,6.0,"one-time-watch movies"
Paralytic,4.9,"Flop movies"
"The Fate of the Furious",6.7,"one-time-watch movies"
"Bloody Crayons",5.6,"one-time-watch movies"
"Shot Caller",7.3,"Hit movies"
Braid,5.4,"one-time-watch movies"
"Night Pulse",4.9,"Flop movies"
"Razbudi menya",5.9,"one-time-watch movies"
Drifter,3.6,"Flop movies"
"The Broken Key",2.2,"Flop movies"
Beirut,6.4,"one-time-watch movies"
"The Sound",3.6,"Flop movies"
"Wolves at the Door",4.5,"Flop movies"
"American Fable",6.2,"one-time-watch movies"
Woodshock,4.2,"Flop movies"
"Dark Iris",4.1,"Flop movies"
Lavender,5.3,"one-time-watch movies"
Josie,5.5,"one-time-watch movies"
"1 Buck",6.0,"one-time-watch movies"
Discarnate,4.2,"Flop movies"
"In the Tall Grass",5.5,"one-time-watch movies"
Parasites,4.0,"Flop movies"
Shuddhi,8.1,"superhit movies"
Gurgaon,6.6,"one-time-watch movies"
"El Complot Mongol",5.7,"one-time-watch movies"
"Mountain Fever",3.5,"Flop movies"
Monolith,4.7,"Flop movies"
"Cold November",4.5,"Flop movies"
Money,5.5,"one-time-watch movies"
Curvature,5.0,"one-time-watch movies"
"Killing Ground",5.8,"one-time-watch movies"
Fantasma,4.2,"Flop movies"
"The Limehouse Golem",6.3,"one-time-watch movies"
CTRL,3.0,"Flop movies"
"Unfriended: Dark Web",5.9,"one-time-watch movies"
"200 Degrees",4.4,"Flop movies"
"The Summoning",3.9,"Flop movies"
Negative,4.4,"Flop movies"
"Fighting the Sky",3.0,"Flop movies"
"Central Park",3.7,"Flop movies"
Unhinged,4.1,"Flop movies"
Larceny,3.4,"Flop movies"
Countrycide,2.0,"Flop movies"
"Rough Night",5.2,"one-time-watch movies"
"Ruin Me",5.2,"one-time-watch movies"
Lens,7.0,"Hit movies"
"Bang jia zhe",5.1,"one-time-watch movies"
Armed,3.3,"Flop movies"
"The Parts You Lose",5.3,"one-time-watch movies"
"Hush Money",6.0,"one-time-watch movies"
"Together For Ever",5.8,"one-time-watch movies"
"Black Wake",2.1,"Flop movies"
"Good Time",7.3,"Hit movies"
"Buckout Road",4.0,"Flop movies"
Contratiempo,8.1,"superhit movies"
"Rapid Eye Movement",4.2,"Flop movies"
"The Holly Kane Experiment",5.1,"one-time-watch movies"
"Hollow in the Land",5.6,"one-time-watch movies"
"Mind and Machine",3.0,"Flop movies"
"Most Beautiful Island",5.7,"one-time-watch movies"
"Out of the Shadows",3.5,"Flop movies"
"Ridge Runners",3.9,"Flop movies"
"Die, My Dear",5.3,"one-time-watch movies"
"The Spearhead Effect",4.7,"Flop movies"
"Strip Club Massacre",6.4,"one-time-watch movies"
"Death Pool",3.0,"Flop movies"
Digbhayam,9.2,"superhit movies"
Baadshaho,4.9,"Flop movies"
Lyst,3.9,"Flop movies"
"Mission: Impossible - Fallout",7.8,"Hit movies"
"The Curse of La Llorona",5.4,"one-time-watch movies"
9/11,4.1,"Flop movies"
Parallel,6.4,"one-time-watch movies"
"El guardián invisible",6.3,"one-time-watch movies"
"Tomato Red",5.9,"one-time-watch movies"
"Las tinieblas",5.7,"one-time-watch movies"
"The Worthy",5.2,"one-time-watch movies"
"Demonios tus ojos",5.5,"one-time-watch movies"
Fixeur,6.7,"one-time-watch movies"
"From a House on Willow Street",5.0,"one-time-watch movies"
"Awaken the Shadowman",4.3,"Flop movies"
Rondo,4.0,"Flop movies"
Axis,4.0,"Flop movies"
Split,7.3,"Hit movies"
"Zombies Have Fallen",6.5,"one-time-watch movies"
"A martfüi rém",7.0,"Hit movies"
"Daas Dev",5.1,"one-time-watch movies"
Unwritten,3.1,"Flop movies"
"They Remain",4.2,"Flop movies"
"Life in the Hole",6.4,"one-time-watch movies"
"Operation Brothers",6.5,"one-time-watch movies"
Presumed,5.0,"one-time-watch movies"
Cage,3.6,"Flop movies"
"Breakdown Forest - Reise in den Abgrund",7.5,"Hit movies"
Residue,5.4,"one-time-watch movies"
Prodigy,6.1,"one-time-watch movies"
Goodland,5.1,"one-time-watch movies"
"Kings Bay",5.8,"one-time-watch movies"
"American Gothic",3.7,"Flop movies"
"Soul to Keep",4.3,"Flop movies"
Fare,4.3,"Flop movies"
"Trench 11",5.3,"one-time-watch movies"
Incontrol,4.2,"Flop movies"
"The Assignment",4.6,"Flop movies"
Dismissed,5.7,"one-time-watch movies"
"Last Seen in Idaho",5.1,"one-time-watch movies"
Muse,5.4,"one-time-watch movies"
Desolation,4.5,"Flop movies"
Nereus,3.6,"Flop movies"
"Get Out",7.7,"Hit movies"
"The Village in the Woods",6.6,"one-time-watch movies"
"Body of Sin",4.7,"Flop movies"
"Easy Living",4.8,"Flop movies"
"Altered Hours",4.7,"Flop movies"
Transfert,7.4,"Hit movies"
"The Butler",7.6,"Hit movies"
"The Isle",6.1,"one-time-watch movies"
"Kundschafter des Friedens",5.8,"one-time-watch movies"
"El ataúd de cristal",5.3,"one-time-watch movies"
Luna,5.5,"one-time-watch movies"
"Jasper Jones",6.6,"one-time-watch movies"
"O lyubvi",5.1,"one-time-watch movies"
M.F.A.,6.1,"one-time-watch movies"
"Beneath Us",5.1,"one-time-watch movies"
"Ghost Note",5.8,"one-time-watch movies"
Noctem,4.2,"Flop movies"
"Khaneye dokhtar",5.3,"one-time-watch movies"
"Warning Shot",5.1,"one-time-watch movies"
"Coyote Lake",4.8,"Flop movies"
"Perfect sãnãtos",4.9,"Flop movies"
"Red Christmas",4.3,"Flop movies"
"El bar",6.3,"one-time-watch movies"
"O Animal Cordial",6.5,"one-time-watch movies"
Ira,5.6,"one-time-watch movies"
Lover,5.7,"one-time-watch movies"
"Annabelle: Creation",6.5,"one-time-watch movies"
"12 Feet Deep",5.6,"one-time-watch movies"
Liebmann,5.3,"one-time-watch movies"
Illicit,4.7,"Flop movies"
Shortwave,4.8,"Flop movies"
Nightworld,4.4,"Flop movies"
Nibunan,6.6,"one-time-watch movies"
"Escape Room",4.2,"Flop movies"
"Mean Dreams",6.3,"one-time-watch movies"
"In Darkness",5.8,"one-time-watch movies"
"Another Soul",2.0,"Flop movies"
"The Chamber",4.4,"Flop movies"
Inside,5.1,"one-time-watch movies"
"Billionaire Boys Club",5.6,"one-time-watch movies"
Forushande,7.8,"Hit movies"
"Beach House",6.8,"one-time-watch movies"
"The Mason Brothers",5.6,"one-time-watch movies"
Ravenswood,6.2,"one-time-watch movies"
Volt,5.1,"one-time-watch movies"
"Juzni vetar",8.3,"superhit movies"
"Pray for Rain",5.1,"one-time-watch movies"
Rosy,4.7,"Flop movies"
"3 ting",5.5,"one-time-watch movies"
"The Rake",3.5,"Flop movies"
"Intensive Care",3.8,"Flop movies"
Despair,7.8,"Hit movies"
Assimilate,5.7,"one-time-watch movies"
"Final Score",5.7,"one-time-watch movies"
B&B,5.3,"one-time-watch movies"
Enigma,8.8,"superhit movies"
Chappaquiddick,6.5,"one-time-watch movies"
"The Terrible Two",2.3,"Flop movies"
"Berlin Falling",6.2,"one-time-watch movies"
"Immigration Game",3.3,"Flop movies"
Videomannen,5.7,"one-time-watch movies"
"Le serpent aux mille coupures",6.0,"one-time-watch movies"
"The Standoff at Sparrow Creek",6.2,"one-time-watch movies"
"Happy Death Day",6.5,"one-time-watch movies"
"Is This Now",7.8,"Hit movies"
Close,5.6,"one-time-watch movies"
"Singam 3",6.3,"one-time-watch movies"
"Hate Story IV",3.3,"Flop movies"
Pirmdzimtais,5.7,"one-time-watch movies"
Kaygi,6.6,"one-time-watch movies"
Ryde,5.9,"one-time-watch movies"
"The Wolf Hour",4.8,"Flop movies"
"The Child Remains",4.9,"Flop movies"
"A Young Man with High Potential",5.6,"one-time-watch movies"
"The Hatton Garden Job",5.8,"one-time-watch movies"
Drone,5.3,"one-time-watch movies"
"The Midnight Man",3.6,"Flop movies"
Magellan,5.1,"one-time-watch movies"
Callback,6.6,"one-time-watch movies"
"The Job",6.0,"one-time-watch movies"
"The Martyr Maker",3.9,"Flop movies"
"Gatta Cenerentola",6.8,"one-time-watch movies"
Tilt,5.0,"one-time-watch movies"
Life,6.6,"one-time-watch movies"
"24 Hours to Live",5.7,"one-time-watch movies"
"American Satan",5.5,"one-time-watch movies"
"The Men",5.5,"one-time-watch movies"
Trendy,5.5,"one-time-watch movies"
"Zona hostil",6.3,"one-time-watch movies"
"Blood Child",7.8,"Hit movies"
"Break-Up Nightmare",4.5,"Flop movies"
Kaabil,7.1,"Hit movies"
Corporate,6.4,"one-time-watch movies"
"Hotel Mumbai",7.6,"Hit movies"
"Mom and Dad",5.5,"one-time-watch movies"
"Kill Switch",4.8,"Flop movies"
"Havana Darkness",3.9,"Flop movies"
"Contract to Kill",3.4,"Flop movies"
Dagenham,3.0,"Flop movies"
Vargur,6.1,"one-time-watch movies"
Shattered,5.4,"one-time-watch movies"
"The Samaritans",4.1,"Flop movies"
Apotheosis,5.3,"one-time-watch movies"
Lazarat,5.3,"one-time-watch movies"
"Two Pigeons",5.4,"one-time-watch movies"
"Dhaka Attack",8.0,"Hit movies"
Raasta,3.9,"Flop movies"
Maatr,4.5,"Flop movies"
"The Music Box",5.8,"one-time-watch movies"
Maanagaram,8.1,"superhit movies"
"The Good Liar",6.5,"one-time-watch movies"
Replace,4.6,"Flop movies"
Lucid,6.2,"one-time-watch movies"
Wetlands,4.3,"Flop movies"
"Mu ji zhe",7.1,"Hit movies"
Clinical,5.1,"one-time-watch movies"
"The Mad Whale",5.8,"one-time-watch movies"
Arsenal,4.0,"Flop movies"
Harmony,5.3,"one-time-watch movies"
"Die Hölle",6.5,"one-time-watch movies"
Extracurricular,6.2,"one-time-watch movies"
"The Beguiled",6.3,"one-time-watch movies"
Driven,6.2,"one-time-watch movies"
Polaroid,5.1,"one-time-watch movies"
Eshtebak,7.5,"Hit movies"
Ambition,3.1,"Flop movies"
"Deadman Standing",4.8,"Flop movies"
Cabaret,3.5,"Flop movies"
"Boyne Falls",6.8,"one-time-watch movies"
"Spinning Man",5.6,"one-time-watch movies"
Webcast,5.7,"one-time-watch movies"
3,4.2,"Flop movies"
Cardinals,5.5,"one-time-watch movies"
"Black Water",4.6,"Flop movies"
Kaleidoscope,5.7,"one-time-watch movies"
Antisocial.app,2.6,"Flop movies"
"The Second",4.8,"Flop movies"
Wraith,3.4,"Flop movies"
"The Ritual",6.3,"one-time-watch movies"
"BNB Hell",5.5,"one-time-watch movies"
"8 Remains",4.0,"Flop movies"
Thoroughbreds,6.7,"one-time-watch movies"
"5 Frauen",4.7,"Flop movies"
"Camera Obscura",4.6,"Flop movies"
"Bad Day for the Cut",6.5,"one-time-watch movies"
"Den enda vägen",5.9,"one-time-watch movies"
Barracuda,5.5,"one-time-watch movies"
Fashionista,5.5,"one-time-watch movies"
"Cut Shoot Kill",4.4,"Flop movies"
Charmøren,6.7,"one-time-watch movies"
"The Recall",4.5,"Flop movies"
"Frazier Park Recut",5.1,"one-time-watch movies"
Agent,3.9,"Flop movies"
"Breaking Point",2.7,"Flop movies"
